artists,title,points,pos,max_pos,year_released,year_charts,weeks_top10
Status Quo,What You're Proposing,60,24,3,1980,1980,9
Buggles,Video Killed The Radio Stars,60,25,2,1979,1980,6
Marianne Faithfull,The Ballad Of Lucy Jordan,54,26,5,1980,1980,11
Kelly Marie,Feels Like I'm In Love,54,27,5,1980,1980,10
Abba,Super Trouper,50,28,1,1980,1980,4
Abba,I Have A Dream,48,29,4,1979,1980,8
Gottlieb Wendehals,Herbert,47,30,4,1980,1980,7
Abba,The Winner Takes It All,46,31,4,1980,1980,9
Boney M.,I See A Boat (On The River),37,32,5,1980,1980,7
Saragossa Band,Zabadak,34,33,6,1979,1980,8
Goombay Dance Band,"Aloha-Oe, Until We Meet Again",30,34,5,1980,1980,8
Howard Carpendale,Wie frei willst du sein,29,35,6,1980,1980,7
Queen,Another One Bites The Dust,28,36,6,1980,1980,7
Cliff Richard,Dreamin',25,37,6,1980,1980,6
Matchbox,Midnite Dynamos,22,38,8,1980,1980,7
Howard Carpendale,Nachts wenn alles schläft,20,39,3,1979,1980,3
Cliff Richard,We Don't Talk Anymore,20,40,5,1979,1980,3
ELO (The Electric Light Orchestra),Confusion,19,41,6,1979,1980,4
Abba,"Gimme, Gimme, Gimme (A Man After Midnight)",19,42,3,1979,1980,2
Orlando Riva Sound,Indian Reservation,17,43,7,1980,1980,5
Goombay Dance Band,Eldorado,16,44,4,1980,1980,3
Frank Duval & Orchestra,Angel Of Mine,14,45,4,1980,1980,2
Sheila & B. Devotion,Spacer,13,46,9,1980,1980,5
The Alan Parsons Project,Lucifer,13,47,8,1979,1980,4
Leo Sayer,More Than I Can Say,12,48,8,1980,1980,4
Eruption,"Go Johnnie Go (Keep On Walking, John B.)",10,49,8,1980,1980,3
Dschinghis Khan,Hadschi Halef Omar,10,50,7,1980,1980,3
Boney M.,I'm Born Again / Bahama Mama,10,51,7,1979,1980,3
David Bowie,Ashes To Ashes,8,52,9,1980,1980,3
Secret Service,Oh! Susie,8,53,9,1980,1980,3
Robert Palmer,Johnny & Mary,8,54,7,1980,1980,2
Fleetwood Mac,Tusk,7,55,7,1979,1980,2
Peter Maffay,Über sieben Brücken mußt du geh'n,6,56,8,1980,1980,2
Nick Straker Band,A Walk In The Park,6,57,6,1979,1980,1
Stevie Wonder,Master Blaster (Jammin'),5,58,9,1980,1980,2
Manuel & Pony,Das Lied von Manuel,5,59,7,1979,1980,1
B.A. Robertson,Bang Bang,4,60,8,1979,1980,1
Smokie,San Francisco Bay,3,61,9,1980,1980,1
Boney M.,Gotta Go Home / El Lute,3,62,9,1979,1980,1
Smokie,Babe It's Up To You,2,63,10,1979,1980,1
Village People,Can't Stop The Music,2,64,10,1980,1980,1
Gitte,Freu dich bloß nicht zu früh,2,65,10,1980,1980,1
Katja Ebstein,Abschied ist ein bißchen wie sterben,2,66,10,1980,1980,1
Electronicas,Dance Little Bird,269,1,1,1981,1981,21
Stars On 45,Stars On 45,238,2,1,1981,1981,22
Visage,Fade To Grey,207,3,1,1981,1981,17
Frank Duval & Orchestra,Angel Of Mine,206,4,1,1980,1981,16
Kim Carnes,Bette Davis Eyes,201,5,1,1981,1981,15
Fred Sonnenschein und seine Freunde (Frank Zander),Ja wenn wir alle Englein wären,175,6,1,1981,1981,14
Joe Dolce Music Theatre,Shaddap You Face,156,7,1,1981,1981,13
Phil Collins,In The Air Tonight,154,8,1,1981,1981,14
Abba,Super Trouper,147,9,1,1980,1981,13
Ottawan,Hands Up (Give Me Your Heart),120,10,2,1981,1981,13
Aneka,Japanese Boy,119,11,3,1981,1981,13
Max Werner,Rain In May,119,12,2,1981,1981,12
Soft Cell,Tainted Love,115,13,1,1981,1981,9
Jona Lewie,Stop The Cavalry,107,14,2,1981,1981,12
Bernie Paul,Oh No No,102,15,2,1981,1981,11
ELO (The Electric Light Orchestra),Hold On Tight,97,16,2,1981,1981,14
Kim Wilde,Chequered Love,97,17,2,1981,1981,11
Barclay James Harvest,Life Is For Living,96,18,2,1980,1981,10
Barbra Streisand,Woman In Love,94,19,1,1980,1981,8
Gottlieb Wendehals,Polonäse Blankenese,92,20,1,1981,1981,6
Nicole,Flieg nicht so hoch mein kleiner Freund,74,21,2,1981,1981,9
Roland Kaiser,Lieb' mich ein letztes Mal,73,22,3,1981,1981,14
Robert Palmer,Looking For Clues,68,23,3,1981,1981,11
Kim Wilde,Kids In America,60,24,5,1981,1981,15
Shakin' Stevens,You Drive Me Crazy,59,25,6,1981,1981,15
Boomtown Rats,Banana Republic,56,26,3,1980,1981,9
Stars On 45,Stars On 45 Vol. 2,56,27,2,1981,1981,7
Queen,Flash,53,28,3,1981,1981,11
Peter Maffay,Über sieben Brücken mußt du geh'n,51,29,4,1980,1981,9
Bucks Fizz,Making Your Mind Up,49,30,5,1981,1981,8
Roland Kaiser,Santa Maria,48,31,3,1980,1981,5
Boney M.,Felicidad (Margherita),46,32,6,1980,1981,10
Roland Kaiser,Dich zu lieben,46,33,5,1981,1981,9
John Lennon & Yoko Ono,Woman,46,34,4,1981,1981,9
Sheena Easton,For Your Eyes Only (James Bond Soundtrack),43,35,5,1981,1981,8
Olivia Newton-John,Physical,40,36,4,1981,1981,8
Shakin' Stevens,This Ole House,40,37,5,1981,1981,8
Helen Schneider,Rock 'N' Roll Gypsy (Rock 'N' Roll Outlaw),39,38,6,1981,1981,8
John Lennon,(Just Like) Starting Over,39,39,4,1980,1981,7
Keith Marshall,Only Crying,36,40,5,1981,1981,8
Shakin' Stevens,Green Door,30,41,6,1981,1981,7
Paola,Der Teufel und der junge Mann,28,42,5,1981,1981,5
Peter Alexander,Der Papa wird's schon richten,27,43,3,1981,1981,3
Telly Savalas,Some Broken Hearts Never Mend,25,44,5,1981,1981,6
Goombay Dance Band,Eldorado,21,45,5,1980,1981,4
Dschinghis Khan,Loreley,17,46,6,1981,1981,4
Dave Stewart & Barbara Gaskin,It's My Party,16,47,5,1981,1981,3
Robert Palmer,Johnny & Mary,15,48,7,1980,1981,5
Abba,One Of Us,15,49,3,1981,1981,2
Secret Service,Ye-Si-Ca,12,50,8,1981,1981,4
Adam & The Ants,Stand And Deliver,9,51,8,1981,1981,3
Oliver Onions,Santa Maria,9,52,7,1980,1981,2
Adam & The Ants,Prince Charming,8,53,10,1981,1981,4
John Lennon & Yoko Ono,Imagine,8,54,7,1971,1981,2
Kim Wilde,Cambodia,7,55,7,1981,1981,2
Leo Sayer,More Than I Can Say,7,56,8,1980,1981,2
G.G. Anderson,Mama Lorraine,6,57,10,1981,1981,3
Peter Cornelius,Du entschuldige - i kenn' di,6,58,8,1981,1981,2
Loretta Goggi,Maledetta Primavera,6,59,8,1981,1981,2
Lena Valaitis,Johnny Blue,6,60,9,1981,1981,2
Arabesque,Marigot Bay,6,61,8,1981,1981,2
Queen,Another One Bites The Dust,4,62,10,1980,1981,2
Visage,Mind Of A Toy,4,63,10,1981,1981,2
Status Quo,What You're Proposing,3,64,9,1980,1981,1
Andrea Jürgens,Japanese Boy,3,65,9,1981,1981,1
Howard Carpendale,Wem,3,66,9,1981,1981,1
Goombay Dance Band,Rain,3,67,9,1981,1981,1
The Plastic Ono Band,Give Peace A Chance,3,68,9,1969,1981,1
F.R. David,Words,255,1,1,1982,1982,16
OMD (Orchestral Manoeuvres In The Dark),Maid Of Orleans (The Waltz Joan Of Arc),241,2,1,1982,1982,24
Spider Murphy Gang,Skandal im Sperrbezirk,223,3,1,1981,1982,18
Trio,Da Da Da,196,4,2,1982,1982,18
Andy Borg,Adios Amor,195,5,1,1982,1982,17
Nicole,Ein bißchen Frieden,188,6,1,1982,1982,16
Gottlieb Wendehals,Polonäse Blankenese,184,7,1,1981,1982,12
Falco,Der Kommissar,160,8,1,1982,1982,16
Markus,Ich will Spaß,160,9,1,1982,1982,15
Paul McCartney & Stevie Wonder,Ebony & Ivory,158,10,1,1982,1982,13
Nena,Nur geträumt,139,11,2,1982,1982,13
Hubert Kah,Sternenhimmel,125,12,2,1982,1982,12
Hubert Kah,Rosemarie,118,13,3,1982,1982,15
Steve Miller Band,Abracadabra,98,14,2,1982,1982,12
Shakin' Stevens,Oh Julie,91,15,2,1982,1982,10
Abba,One Of Us,86,16,1,1981,1982,10
Joachim Witt,Der goldene Reiter,85,17,2,1981,1982,12
Kim Wilde,Cambodia,84,18,2,1981,1982,10
Frank Zander,"Da Da Da (Ich weiß Bescheid, du weißt Bescheid)",83,19,2,1982,1982,9
Soft Cell,Tainted Love,75,20,2,1981,1982,8
Dave Stewart & Barbara Gaskin,It's My Party,69,21,3,1981,1982,9
Haysi Fantayzee,John Wayne Is Big Leggy,61,22,3,1982,1982,7
Roger Whittaker,Albany,59,23,3,1982,1982,8
Culture Club,Do You Really Want To Hurt Me,59,24,1,1982,1982,4
Bucks Fizz,The Land Of Make Believe,58,25,3,1982,1982,7
Spider Murphy Gang,Wo bist du?,57,26,4,1982,1982,9
Tight Fit,The Lion Sleeps Tonight,52,27,3,1982,1982,7
Spliff,Carbonara,47,28,5,1982,1982,9
UKW,Sommersprossen,43,29,5,1982,1982,10
Al Bano & Romina Power,Sharazan,38,30,7,1981,1982,9
Frida,I Know There's Something Going On,37,31,5,1982,1982,7
Yazoo,Don't Go,35,32,4,1982,1982,7
Joan Jett & The Blackhearts,I Love Rock'n Roll,33,33,6,1982,1982,7
Chicago,Hard To Say I'm Sorry,32,34,6,1982,1982,7
Relax,Weil i di mog,28,35,6,1982,1982,6
Abba,The Day Before You Came,27,36,5,1982,1982,5
Kim Wilde,View From A Bridge,26,37,6,1982,1982,8
Alice,Una Notte Speciale,26,38,7,1982,1982,7
Al Bano & Romina Power,Felicita,26,39,6,1982,1982,6
Musical Youth,Pass The Dutchie,26,40,3,1982,1982,3
Adam Ant,Goody Two Shoes,23,41,5,1982,1982,5
Imagination,Just An Illusion,23,42,7,1982,1982,5
Trio,Anna - laßmichrein laßmichraus,23,43,5,1982,1982,4
Asia,Heat Of The Moment,21,44,7,1982,1982,7
Ricchi e Poveri,Made In Italy,21,45,6,1982,1982,6
Peter Alexander,Der Papa wird's schon richten,20,46,4,1981,1982,3
Dexy's Midnight Runners & The Emerald Express,Come On Eileen,19,47,6,1982,1982,5
Jon & Vangelis,I'll Find My Way Home,19,48,6,1982,1982,5
Human League,Don't You Want Me,19,49,5,1982,1982,4
Shakin' Stevens,Shirley,18,50,7,1982,1982,5
Peter Maffay,Lieber Gott,18,51,6,1982,1982,5
Peter Cornelius,Du entschuldige - i kenn' di,16,52,8,1981,1982,5
Shakin' Stevens,Give Me Your Heart Tonight,16,53,6,1982,1982,4
Andy Borg,Arrividerci Claire,13,54,8,1982,1982,4
Roland Kaiser,Manchmal möchte ich schon mit dir,13,55,7,1982,1982,4
Kraftwerk,Das Model,13,56,7,1982,1982,3
Helen Schneider,Rock 'N' Roll Gypsy (Rock 'N' Roll Outlaw),12,57,8,1981,1982,4
Christian Franke,Ich wünsch' dir die Hölle auf Erden (wenn du heut' gehst),11,58,7,1981,1982,4
Olivia Newton-John,Physical,11,59,6,1981,1982,3
Supertramp,It's Raining Again,9,60,6,1982,1982,2
ZaZa,Zauberstab,8,61,8,1982,1982,3
Fred Sonnenschein und seine Freunde (Frank Zander),Ja wenn wir alle Englein wären,7,62,7,1981,1982,2
Karat,Jede Stunde,5,63,9,1982,1982,2
Men At Work,Down Under,5,64,9,1982,1982,2
Spliff,Das Blech,4,65,8,1982,1982,1
Conny (Conny Froboess) & Jean,Felicita,2,66,10,1982,1982,1
Falco,Maschine brennt,2,67,10,1982,1982,1
Fräulein Menke,Hohe Berge,2,68,10,1982,1982,1
Michael Schanze und die Fußball-Nationalmannschaft,Ole Espana,2,69,10,1982,1982,1
Aneka,Little Lady,2,70,10,1981,1982,1
Peter Schilling,Major Tom (Völlig losgelöst),200,1,1,1983,1983,14
Nena,99 Luftballons,171,2,1,1983,1983,13
Geier Sturzflug,Bruttosozialprodukt,167,3,1,1983,1983,13
Robin Gibb,Juliet,162,4,1,1983,1983,14
Gazebo,I Like Chopin,159,5,1,1983,1983,14
Laid Back,Sunshine Reggae,156,6,1,1983,1983,12
Culture Club,Do You Really Want To Hurt Me,140,7,1,1982,1983,11
Mike Oldfield,Moonlight Shadow,137,8,2,1983,1983,14
DÖF (Tauchen & Prokopetz),Codo,135,9,1,1983,1983,10
Rod Stewart,Baby Jane,130,10,1,1983,1983,11
Paul Young,Come Back And Stay,128,11,1,1983,1983,9
Kajagoogoo,Too Shy,108,12,1,1983,1983,7
New Order,Blue Monday,106,13,2,1983,1983,11
Phil Collins,You Can't Hurry Love,104,14,3,1983,1983,11
Michael Jackson,Billie Jean,101,15,2,1983,1983,11
Culture Club,Karma Chameleon,98,16,2,1983,1983,9
Musical Youth,Pass The Dutchie,94,17,2,1982,1983,8
Irene Cara,Flashdance... What A Feeling,88,18,3,1983,1983,14
Men Without Hats,The Safety Dance,86,19,2,1983,1983,10
David Bowie,Let's Dance,85,20,2,1983,1983,10
Ryan Paris,Dolce Vita Part I (Vocal),76,21,3,1983,1983,10
Rose Laurens,Africa (Vaudou Master),75,22,3,1983,1983,11
Nena,Leuchtturm,74,23,2,1983,1983,8
Michael Jackson,Beat It,74,24,2,1983,1983,7
Frank Duval & Orchestra,Give Me Your Love,69,25,2,1983,1983,8
KIZ,Die Sennerin vom Königsee,67,26,3,1983,1983,9
Eurythmics,Sweet Dreams (Are Made Of This),62,27,4,1983,1983,11
Supertramp,It's Raining Again,59,28,3,1982,1983,7
Captain Sensible,Wot,58,29,4,1982,1983,10
Mike Oldfield,Shadow On The Wall,56,30,3,1983,1983,8
Lionel Richie,All Night Long (All Night),56,31,2,1983,1983,5
Genesis,Mama,53,32,4,1983,1983,8
Righeira,Vamos A La Playa,53,33,3,1983,1983,8
Udo Lindenberg,Sonderzug nach Pankow,45,34,5,1983,1983,7
Trans-X,Living On Video,43,35,4,1983,1983,8
Icehouse,Hey Little Girl,41,36,5,1983,1983,7
Eddy Grant,I Don't Wanna Dance,34,37,7,1982,1983,8
The Shorts,Comment Ca Va,34,38,5,1983,1983,8
Haysi Fantayzee,John Wayne Is Big Leggy,32,39,4,1982,1983,5
The Flirts,Passion,29,40,4,1983,1983,7
Michael Sembello,Maniac,28,41,6,1983,1983,8
The Catch,25 Years,27,42,4,1983,1983,5
Trio,Anna - laßmichrein laßmichraus,27,43,3,1982,1983,5
Nickerbocker & Biene,Hallo Klaus (I wü nur zruck),26,44,6,1982,1983,5
Dexy's Midnight Runners & The Emerald Express,Come On Eileen,26,45,6,1982,1983,5
David Bowie,China Girl,25,46,6,1983,1983,6
Spliff,Das Blech,25,47,5,1982,1983,5
Herbie Hancock,Rockit,23,48,6,1983,1983,5
Trio,Bum Bum,22,49,7,1983,1983,6
Spider Murphy Gang,Ich schau' dich an,22,50,5,1982,1983,4
The Police,Every Breath You Take,21,51,8,1983,1983,6
Markus,Kleine Taschenlampe brenn,20,52,5,1983,1983,4
F.R. David,Words,18,53,4,1982,1983,3
Joe Cocker & Jennifer Warnes,Up Where We Belong,17,54,6,1982,1983,4
Limahl,Only For Love,16,55,8,1983,1983,5
Masquerade,Guardian Angel,16,56,3,1983,1983,3
Freeez,I.O.U.,15,57,8,1983,1983,5
Nicole,Ich hab' dich doch lieb,13,58,8,1983,1983,5
Madness,Our House,12,59,8,1983,1983,3
Eddy Grant,Electric Avenue,11,60,9,1983,1983,5
Tracey Ullman,Breakaway,11,61,8,1983,1983,4
Nino de Angelo,Jenseits von Eden,11,62,4,1983,1983,2
Peter Schilling,Die Wüste lebt,10,63,7,1983,1983,3
Styx,Mr. Roboto,10,64,8,1983,1983,3
Audrey Landers,Manuel Goodbye,8,65,10,1983,1983,4
Rod Stewart,"What Am I Gonna Do, I'm So In Love With You",8,66,9,1983,1983,3
Andy Borg,Arrividerci Claire,7,67,9,1982,1983,3
Hoffmann & Hoffmann,Rücksicht,6,68,8,1983,1983,2
Nena,? (Fragezeichen),6,69,6,1983,1983,1
Renee & Renato,Save Your Love,4,70,10,1983,1983,2
IXI,Der Knutschfleck,4,71,8,1983,1983,1
Spandau Ballet,True,3,72,9,1983,1983,1
Ultravox,Hymn,3,73,9,1983,1983,1
Hypnosis,Pulstar,2,74,10,1983,1983,1
Boytronic,You,2,75,10,1983,1983,1
Elton John,I'm Still Standing,2,76,10,1983,1983,1
Kano,Another Life,2,77,10,1983,1983,1
Abba,The Day Before You Came,2,78,10,1982,1983,1
Indeep,Last Night A DJ Saved My Life,2,79,10,1983,1983,1
Dionne Warwick,Heartbreaker,2,80,10,1982,1983,1
Stevie Wonder,I Just Called To Say I Love You,176,1,1,1984,1984,13
Frankie Goes To Hollywood,Relax,168,2,1,1984,1984,12
Laura Branigan,Self Control,161,3,1,1984,1984,12
Nino de Angelo,Jenseits von Eden,160,4,1,1983,1984,11
Alphaville,Big In Japan,149,5,1,1984,1984,12
Talk Talk,Such A Shame,136,6,2,1984,1984,13
Masquerade,Guardian Angel,126,7,2,1983,1984,10
Real Life,Send Me An Angel,126,8,1,1984,1984,10
Depeche Mode,People Are People,122,9,1,1984,1984,9
Evelyn Thomas,High Energy,121,10,1,1984,1984,10
The Flying Pickets,Only You,111,11,1,1984,1984,10
Jermaine Jackson & Pia Zadora,When The Rain Begins To Fall,109,12,1,1984,1984,7
Frankie Goes To Hollywood,Two Tribes,104,13,1,1984,1984,11
Giorgio Moroder,Reach Out,100,14,1,1984,1984,7
Limahl,Never Ending Story,99,15,2,1984,1984,10
Raff,Self Control (Part I),83,16,2,1984,1984,7
Bronski Beat,Smalltown Boy,82,17,3,1984,1984,10
Queen,Radio Ga Ga,76,18,2,1984,1984,8
Nik Kershaw,Wouldn't It Be Good,74,19,2,1984,1984,8
Wham!,Wake Me Up Before You Go Go,73,20,2,1984,1984,8
Alphaville,Sounds Like A Melody,72,21,3,1984,1984,9
Nena,"Irgendwie, irgendwo, irgendwann",70,22,3,1984,1984,9
Pat Benatar,Love Is A Battlefield,70,23,3,1984,1984,9
Depeche Mode,Master & Servant,67,24,2,1984,1984,7
The Catch,25 Years,66,25,3,1983,1984,9
Lionel Richie,Hello,66,26,2,1984,1984,8
George Michael,Careless Whisper,63,27,3,1984,1984,8
Rockwell,Somebody's Watching Me,63,28,2,1984,1984,7
Duran Duran,The Wild Boys,58,29,1,1984,1984,4
Scotch,Disco Band,55,30,3,1984,1984,9
Paul Young,Come Back And Stay,53,31,1,1983,1984,5
Klaus Lage Band,1000 und 1 Nacht (Zoom!),47,32,5,1984,1984,9
Nena,? (Fragezeichen),45,33,3,1983,1984,7
Ray Parker Jr.,Ghostbusters,43,34,4,1984,1984,7
Kenny Loggins,Footloose,43,35,4,1984,1984,7
Slade,My Oh My,43,36,4,1984,1984,6
Paul Young,Love Of The Common People,42,37,5,1983,1984,8
Wang Chung,Dance Hall Days,39,38,5,1984,1984,7
Van Halen,Jump,38,39,4,1984,1984,6
Queen,I Want To Break Free,37,40,4,1984,1984,6
My Mine,Hypnotic Tango,35,41,5,1984,1984,8
Rock Steady Crew,(Hey You) The Rock Steady Crew,35,42,6,1984,1984,7
Alphaville,Forever Young,34,43,4,1984,1984,7
The Cars,Drive,34,44,4,1984,1984,6
Cyndi Lauper,Girls Just Want To Have Fun,34,45,6,1984,1984,6
Fox The Fox,Precious Little Diamond,32,46,5,1984,1984,6
Gazebo,Lunatic,32,47,4,1983,1984,6
Mike Oldfield & Maggie Reilly,To France,31,48,6,1984,1984,7
Cyndi Lauper,Time After Time,28,49,6,1984,1984,7
Prince & The Revolution,Purple Rain,27,50,5,1984,1984,5
Billy Ocean,European Queen (No More Love On The Run),27,51,3,1984,1984,3
Herbert Grönemeyer,Männer,25,52,7,1984,1984,7
Howard Carpendale,Hello Again,24,53,5,1984,1984,5
Bronski Beat,Why?,22,54,5,1984,1984,5
Trio,Turaluraluralu,22,55,6,1983,1984,5
The Alan Parsons Project,Don't Answer Me,20,56,7,1984,1984,5
Chaka Khan,I Feel For You,20,57,4,1984,1984,3
Patto,Black And White,18,58,6,1984,1984,5
Thompson Twins,Hold Me Now,18,59,7,1984,1984,5
Lionel Richie,All Night Long (All Night),17,60,5,1983,1984,4
Shannon,Let The Music Play,17,61,5,1984,1984,4
Tina Turner,What's Love Got To Do With It,16,62,7,1984,1984,5
Propaganda,Dr. Mabuse: The First Side 'A' To-Day,16,63,7,1984,1984,5
Miami Sound Machine,Dr. Beat,15,64,7,1984,1984,5
Duran Duran,The Reflex,12,65,8,1984,1984,4
Ultravox,Dancing With Tears In My Eyes,12,66,7,1984,1984,3
Bananarama,Robert De Niro's Waiting,11,67,7,1984,1984,3
Howard Jones,What Is Love?,10,68,6,1984,1984,3
Billy Idol,Eyes Without A Face,8,69,10,1984,1984,4
Matthew Wilder,Break My Stride,8,70,7,1984,1984,2
Laid Back,High Society Girl,7,71,9,1983,1984,3
Phil Collins,Against All Odds (Take A Look At Me Now),7,72,9,1984,1984,3
Mike Oldfield,Shadow On The Wall,6,73,8,1983,1984,2
Fancy,Chinese Eyes,5,74,9,1984,1984,2
Madonna,Holiday,5,75,9,1984,1984,2
Roger Whittaker,Abschied ist ein scharfes Schwert,5,76,9,1984,1984,2
Eurythmics,Sexcrime (1984),5,77,7,1984,1984,1
Pat Benatar,We Belong,3,78,9,1984,1984,1
Kim Wilde,The Second Time,3,79,9,1984,1984,1
Real Life,Catch Me I'm Falling,3,80,9,1984,1984,1
Limahl,Only For Love,3,81,9,1983,1984,1
Public Image Limited (PiL),This Is Not A Lovesong,2,82,10,1983,1984,1
Sandy Marton,People From Ibiza,2,83,10,1984,1984,1
Deniece Williams,Let's Hear It For The Boy,2,84,10,1984,1984,1
Hypnosis,Pulstar,2,85,10,1983,1984,1
Fiction Factory,(Feels Like) Heaven,2,86,10,1984,1984,1
Yes,Owner Of A Lonely Heart,2,87,10,1984,1984,1
Modern Talking,"You're My Heart, You're My Soul",188,1,1,1985,1985,15
Opus,Live Is Life,184,2,1,1985,1985,12
Sandra,(I'll Never Be) Maria Magdalena,172,3,1,1985,1985,13
Falco,Rock Me Amadeus,169,4,1,1985,1985,14
Paul Hardcastle,19,166,5,1,1985,1985,12
Tina Turner,We Don't Need Another Hero,161,6,1,1985,1985,13
Modern Talking,Cheri Cheri Lady,143,7,1,1985,1985,10
A-ha,Take On Me,141,8,1,1985,1985,9
Tears For Fears,Shout,136,9,1,1985,1985,10
Murray Head,One Night In Bangkok,128,10,1,1984,1985,11
Harold Faltermeyer,Axel F.,115,11,2,1985,1985,11
Modern Talking,You Can Win If You Want (Remix),109,12,1,1985,1985,9
Baltimora,Tarzan Boy,92,13,3,1985,1985,15
Dead Or Alive,You Spin Me Round (Like A Record),91,14,2,1985,1985,8
Usa For Africa,We Are The World,88,15,2,1985,1985,7
Ashford & Simpson,Solid,83,16,2,1985,1985,8
Round One,Theme From 'Rocky' (Rival Mix),80,17,4,1985,1985,12
Band Aid,Do They Know It's Christmas?,76,18,1,1985,1985,7
Madonna,Into The Groove,74,19,3,1985,1985,8
Elton John,Nikita,73,20,1,1985,1985,5
Kate Bush,Running Up That Hill,70,21,3,1985,1985,7
Midge Ure,If I Was,65,22,2,1985,1985,7
Foreigner,I Want To Know What Love Is,63,23,3,1985,1985,8
Princess,Say I'm Your Number One,61,24,2,1985,1985,7
Moti Special,"Cold Days, Hot Nights",59,25,3,1985,1985,8
Duran Duran,The Wild Boys,59,26,1,1984,1985,5
Sandra,In The Heat Of The Night,54,27,2,1985,1985,4
David Bowie & Pat Metheny Group,This Is Not America,53,28,5,1985,1985,10
The Commodores,Nightshift,49,29,4,1985,1985,9
Two Of Us,Blue Night Shadow,48,30,5,1985,1985,9
Jennifer Rush,Destiny,47,31,4,1985,1985,8
Raggio Di Luna (Moon Ray),Comanchero,39,32,3,1985,1985,9
Band Für Afrika,Nackt im Wind,39,33,3,1985,1985,4
Glenn Frey,The Heat Is On,38,34,4,1985,1985,6
Kool & The Gang,Cherish,37,35,5,1985,1985,7
Falco,Vienna Calling,37,36,4,1985,1985,6
Eurythmics,Sexcrime (1984),37,37,3,1984,1985,5
Depeche Mode,Shake The Disease,36,38,4,1985,1985,6
Talking Heads,Road To Nowhere,35,39,6,1985,1985,7
Video Kids,Woodpeckers From Space,35,40,4,1985,1985,7
Klaus & Klaus,An der Nordseeküste,35,41,5,1985,1985,6
Eurythmics,There Must Be An Angel (Playing With My Heart),35,42,4,1985,1985,6
Simple Minds,Don't You (Forget About Me),35,43,4,1985,1985,6
Frankie Goes To Hollywood,The Power Of Love,35,44,4,1984,1985,6
Rick Springfield,Celebrate Youth,34,45,5,1985,1985,7
Madonna,Like A Virgin,34,46,4,1985,1985,7
Grace Jones,Slave To The Rhythm,34,47,4,1985,1985,5
Valerie Dore,The Night,32,48,5,1984,1985,8
Purple Schulz & Die Neue Heimat,Sehnsucht,30,49,6,1984,1985,6
Philip Bailey & Phil Collins,Easy Lover,25,50,5,1985,1985,5
Bad Boys Blue,You're A Woman,24,51,8,1985,1985,9
Scotch,Delirio Mind,24,52,6,1985,1985,6
Billy Ocean,European Queen (No More Love On The Run),24,53,2,1984,1985,3
Flash & The Pan,Midnight Man,23,54,7,1985,1985,6
Marillion,Kayleigh,22,55,7,1985,1985,6
Tina Turner,One Of The Living,22,56,6,1985,1985,5
Martinelli,Cenerentola (Cinderella),20,57,8,1985,1985,6
David Bowie & Mick Jagger,Dancing In The Street,19,58,6,1985,1985,4
John Parr,St. Elmo's Fire (Man In Motion),18,59,6,1985,1985,4
Boney M. & Bobby Farrell with The School Rebels,Happy Song,13,60,7,1984,1985,3
Jermaine Jackson & Pia Zadora,When The Rain Begins To Fall,13,61,4,1984,1985,2
Lee Marrow,Shanghai,11,62,8,1985,1985,4
King,Love & Pride,11,63,8,1985,1985,4
Feargal Sharkey,A Good Heart,10,64,6,1985,1985,2
Alison Moyet,For You Only,9,65,7,1985,1985,2
Chaka Khan,I Feel For You,9,66,5,1984,1985,2
Matt Bianco,Yeh Yeh,8,67,7,1985,1985,2
Depeche Mode,It's Called A Heart,8,68,8,1985,1985,2
Wham!,Everything She Wants (Remix),8,69,8,1985,1985,2
Jennifer Rush,The Power Of Love,7,70,9,1985,1985,3
Cock Robin,When Your Heart Is Weak,7,71,8,1985,1985,2
Godley & Creme,Cry,7,72,8,1985,1985,2
Animotion,Obsession,7,73,8,1985,1985,2
Double,The Captain Of Her Heart,6,74,10,1985,1985,3
Bläck Fööss,"Frankreich, Frankreich",6,75,9,1985,1985,2
Moti Special,Don't Be So Shy,6,76,9,1985,1985,2
Frankie Goes To Hollywood,Welcome To The Pleasuredome,6,77,9,1985,1985,2
Nik Kershaw,The Riddle,6,78,8,1984,1985,2
Duran Duran,A View To A Kill (James Bond Soundtrack),5,79,9,1985,1985,2
Wham!,I'm Your Man,5,80,7,1985,1985,1
Wham!,Last Christmas,5,81,7,1985,1985,1
Pia Zadora,Little Bit Of Heaven,4,82,10,1985,1985,2
Phil Collins,One More Night,4,83,10,1985,1985,2
Nena,Feuer und Flamme,4,84,8,1985,1985,1
